boneId,parentBoneId,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0,-1,1.0,0.0,0.0,0.0,0.0,1.0,-1.8335299500904512e-08,0.0,0.0,5.0121812478209904e-08,1.0,0.0,0.0,0.0,0.0,1.0
1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.1920928955078125e-07,0.0,0.0,-8.742277657347586e-08,1.0,0.0,0.0,0.0,0.0,1.0
2,0,1.0,0.0,0.0,0.0,0.0,1.0,1.1920928955078125e-07,6.676599979400635,0.0,-8.742277657347586e-08,1.0,-5.836869263475819e-07,0.0,0.0,0.0,1.0
3,2,1.0,0.0,0.0,0.0,0.0,0.9999904036521912,-0.004363192245364189,1.2434497875801753e-13,0.0,0.004363223910331726,0.9999904036521912,-1.0870583043560279e-20,0.0,0.0,0.0,1.0
4,3,0.39104217290878296,0.8602095246315002,-0.32730045914649963,1.2000000476837158,-0.9042302966117859,0.2927590608596802,-0.3109012246131897,3.5000009536743164,-0.17162002623081207,0.41753053665161133,0.8923086524009705,-3.0877376389071287e-07,0.0,0.0,0.0,1.0
5,4,0.9370152354240417,-9.18330478327789e-09,-0.3492884933948517,2.3999991416931152,3.990570718315212e-08,1.0,8.076118263034004e-08,4.7683712978141557e-07,0.3492884933948517,-5.782654710628776e-08,0.9370152354240417,-3.2782557468635787e-07,0.0,0.0,0.0,1.0
6,5,1.0,9.313225746154785e-09,-1.4901161193847656e-08,2.4000003337860107,-9.313223969797946e-09,1.0,1.0896474123001099e-07,1.6018780968352075e-07,1.4901161193847656e-08,-7.71782282527056e-08,1.0,2.7492642402648926e-06,0.0,0.0,0.0,1.0
7,4,1.0,-1.117587622445626e-08,-4.3958425521850586e-07,2.3999991416931152,1.1175917968841986e-08,1.0,9.685754776000977e-08,4.7683712978141557e-07,4.3958425521850586e-07,-6.507103478270437e-08,1.0,-3.2782557468635787e-07,0.0,0.0,0.0,1.0
8,4,1.0,-1.117587622445626e-08,-4.3958425521850586e-07,-5.511101335287094e-07,1.1175917968841986e-08,1.0,9.685754776000977e-08,6.23520406861644e-07,4.3958425521850586e-07,-6.507103478270437e-08,1.0,-3.3434486113037565e-07,0.0,0.0,0.0,1.0
9,3,0.390726774930954,-0.8602151274681091,0.3276621997356415,-1.2000000476837158,0.9045194387435913,0.292740136384964,-0.3100769817829132,3.5000009536743164,0.17081305384635925,0.4175322949886322,0.8924626111984253,-3.0877376389071287e-07,0.0,0.0,0.0,1.0
